Constituency ID,Constituency_Name,Winning_Margin,Candidate - All India Trinamool Congress,Candidate - Bharatiya Janata Party,Candidate - Communist Party of India  (Marxist),Candidate - Indian National Congress,Candidate - Independent,Candidate - Rashtriya Secular Majlis Party,Candidate - None of the Above,Candidate - All India Forward Bloc,Candidate - Bahujan Samaj Party,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - Revolutionary Socialist Party,Candidate - Communist Party of India,Candidate - AJSU Party,Candidate - Bahujan Mukti Party,Candidate - Amra Bangalee,Candidate - Kamatapur People’s Party (United),Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - Purvanchal Mahapanchayat,Candidate - All India Majlis-E-Ittehadul Muslimeen,Candidate - Janata Dal  (United),Candidate - Bharatiya Nyay-Adhikar Raksha Party,Candidate - Lok Jan Shakti Party,Candidate - Communist Party of India (Marxist-Leninist) Red Star,Candidate - Ambedkarite Party of India,Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - Indian Unity Centre,Candidate - Party for Democratic Socialism,Candidate - Welfare Party Of India,Candidate - United Socialist Party,Candidate - Humanity Universal Motion Party,Candidate - Bahujan Maha Party,Candidate - National People's Party,"Candidate - Justice and Development Party,",Candidate - Republican Party of India (Athawale),Candidate - Bhartiya Tribal Party,Candidate - Mulnibasi Party of India,Candidate - Indian Union Muslim League,Candidate - Progressive People's Party,Candidate - West Bengal Socialist Party,Candidate - Republican Party of India (A),Candidate - Democratic Socialist Party of India,Candidate - Jan Sangh Party,Candidate - Socialist Party (India),Candidate - National Republic Party Of India,Candidate - Guru Chand Mukti Morcha,Candidate - Paradise Party,Candidate - Hindustani Awam Morcha (Secular),Candidate - Samajwadi Jan Parishad,Candidate - Bharateeya Manavadhikar party,Candidate - Rashtravadi Janata Party,Candidate - Akhil Bharat Hindu Mahasabha,Candidate - Right to Recall Party,Candidate - All India Minorities Front,Candidate - Lok Samya Party,Candidate - Sajag Samaj Party,Candidate - New Democratic Party of India,Candidate - Revolutionary Socialist Party of India(Marxist),Candidate - Jamat-E-Seratul Mustakim,Candidate - Bharatiya Momin Front,Candidate - Vikas India Party
131,Kakdwip,25302,MANTURAM PAKHIRA,DIPANKAR JANA,,INDRANIL ROUT,,,NOTA,,PARBATI BHUNIA,JHANTU MAITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Sagar,29846,BANKIM CHANDRA HAZRA,KAMILA BIKASH,SK MUKLESUR RAHAMAN,,,,NOTA,,,SWARAJ DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Kulpi,33818,JOGARANJAN HALDER,PRANAB KUMAR MALLIK,,,MRINMAY MANDAL,SIRAJ UDDIN GAZI,NOTA,,,RANAJIT SINGHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Raidighi,35568,ALOKE JALDATA,SANTANU BAPULI,KANTI GANGULY,,SOUVIK BAPULI,,NOTA,,MINTU MISTRI,GUNASINDHU HALDAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Mandirbazar,23492,JOYDEB HALDER,DILIP KUMAR JATUA,,,SUBESH KUMAR HALDER,SANCHAY KUMAR SARKAR,NOTA,,SOUMEN SARKAR,SISIR KUMAR MONDAL,,,,PARTHA HALDER,,,,,,,,,,,,,,,,,,,,,,,,,,MONGAL NASKAR,,,,,,,,,,,,,,,,,,,,
136,Jaynagar,38683,BISWANATH DAS,RABIN SARDAR,APURBA PRAMANIK (APU),,SWAPAN KUMAR NASKAR,,NOTA,,SANKAR DEB MONDAL,TARUN KANTI NASKAR,,,,MONOTOSH NASKAR,,,,,,,,UTPAL MANDAL,,,,,,,,,,,,,,,,,,AMITAV NASKAR,,,,,,,,,,,,,,,,,,,,
137,Baruipur Purba,49641,BIVAS SARDAR (VOBO),CHANDAN MONDAL,SWAPAN NASKAR,,SNEHASIS SAHA,,NOTA,,SANKAR DEB MONDAL,JOYDEV NASKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Canning Paschim,35243,Paresh Ram Das,ARNAB ROY,,PROTAP CHANDRA MONDAL,MEGHNATH HALDER,,NOTA,,,NARAYAN NASKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Canning Purba,53007,SAOKAT MOLLA,KALIPADA NASKAR,,,AJAY HALDAR,GAZI SHAHABUDDIN SIRAJI,NOTA,,,RAFIK AKUNJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Baruipur Paschim,61910,BIMAN BANERJEE,DEBOPAM CHATTOPADHYAYA(BABU),MD LAHEK ALI,,RANESWAR DAS,,NOTA,,AJIT BAUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Magrahat Purba,54079,NAMITA SAHA,CHANDAN KUMAR NASKAR,CHANDAN SAHA,,SUDIPTA SANFUI,,NOTA,,,SANJAY MANDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Magrahat Paschim,46941,GIAS UDDIN MOLLA,DHURJATI SAHA (MANAS),,,HABUL KUMAR MANDAL,MAIDUL ISLAM MOLLA,NOTA,,,AHAMMAD SARDAR,,,,,,,,,,,,,,,,,HARAN BISWAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Diamond Harbour,16996,PANNALAL HALDER,DIPAK KUMAR HALDER,PRATIK UR RAHAMAN,,SAFIULLA KHAN,,NOTA,,GOLAM ALI SEKH,MONARAMA HALDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SACHINDRA NATH HALDER,,,,,,,,,,,,,,,,,,,,
144,Falta,40774,SANKAR KUMAR NASKAR,BIDHAN PARUI,,ABDUR RAZZAK MOLLA,M. RAQUIBUL HASAN MALLICK,,NOTA,,ATAL KUMAR PURKAIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Satgachhia,23318,MOHAN CHANDRA NASKAR,CHANDAN PAL,GOUTAM PAL,,DEBAJYOTI BASU,,NOTA,,SANJAY KUMAR SAH,SK RABIYAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Bishnupur,58832,DILIP MONDAL,AGNISWAR NASKAR,JHUMA KAYAL,,UTTAM NASKAR,,NOTA,,RABINDRANATH RANJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Sonarpur Dakshin,26181,ARUNDHUTI MAITRA (LOVELY),ANJANA BASU,,,SHAMPA DAS,,NOTA,,BIMAL KRISHNA MANDAL,DIBAKAR HALDER,,SHUVAM BANERJEE,,DEBASHIS RAKSHIT,SANJAY ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAYEE PRADHAN,,,,,,,,
148,Bhangar,26151,KARIM REZAUL,SOUMI HATI,,,NOUSHAR ALI MOLLA,MD. NAWSAD SIDDIQUE,NOTA,,,TAPAN GHOSH,,,,,,,,,,,,,MIRJA HASAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Kasba,63622,AHMED JAVED KHAN,DR. INDRANIL KHAN,SHATARUP GHOSH,,UMESH KR. SINGH,,NOTA,,,SHAMPA SARKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Jadavpur,38869,DEBABRATA MAJUMDAR (MALAY),RINKU NASKAR,Dr. SUJAN CHAKRABORTY,,MEGHA CHATTERJEE,,NOTA,,SUJOY NASKAR,,,,,,,,,,,,,,,,,,MONALISA GUPTA (DEBROY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Sonarpur Uttar,36090,FIRDOUSI BEGUM,RANJAN BAIDYA,MONALISA SINHA,,SAMIR BHATTACHARYA,,NOTA,,AJIT BAUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Tollyganj,50080,AROOP BISWAS,BABUL SUPRIYO,DEBDUT GHOSH,,SUDIPTA SOM,,NOTA,,,DEBABRATA BERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Behala Purba,37428,Ratna Chatterjee,Payel Sarkar,Samita Har Chowdhury,,Tulsi Rani Pramanik,,NOTA,,Rina Roy,Ashis Kumar Danda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Behala Paschim,50884,PARTHA CHATTERJEE,SRABANTI CHATTERJEE,NIHAR BHAKTA,,SANAT KUMAR BHAKAT,,NOTA,,AMAL DHALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Maheshtala,57949,DULAL CHANDRA DAS,UMESH DAS,PRAVAT CHOWDHURY,,SUBHENDU BARIK,,NOTA,,RINA DEBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Budge Budge,44714,ASHOK KUMAR DEB,DR. TARUN KUMAR ADAK,,SK MUJIBAR RAHAMAN,MUKUL CHANDRA JANA,,NOTA,,BHARAT LAL DAS,UTTAM PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Metiaburuz,119604,ABDUL KHALEQUE MOLLA,RAMJIT PRASAD,,,KRISHNENDU SENGUPTA,NURUZAMAN MOLLA,NOTA,,SAMSAD ALAM,,,,,,PRANATI PAUL,,,,,,,,,,,,,,,,,,FIROZA KHATUN,,,,,,,,,,,,,,,,,,,,SABNAM BIBI,,,,,,,
158,Kolkata Port,68554,Firhad Hakim,Awadh Kishore Gupta,,Md Mukhtar,Sanjay Dey,,NOTA,,Khan Sarfaraz,Sk Jayed Hossain,,,,,,,,,,Manjay Kumar Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Bhabanipur,28719,Sobhandeb Chattopadhyay,Rudranil Ghosh,,Md. Shadab Khan,Chandan Mallick,,NOTA,,Anita Rajwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Rashbehari,21414,DEBASISH KUMAR,LT. GEN. (DR.) SUBRATA SAHA,,ASHUTOSH CHATTERJEE,PREETAM KUNDU,,NOTA,,,SUSMITA PAL,,,,SWAPAN DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROMIT CHOWDHURY,,,,,,,,,,,,,,,,
161,Ballygunge,75359,Subrata Mukherjee,LOKENATH CHATTERJEE,Dr. Fuad Halim,,KAUSHIK GHOSHAL,,NOTA,,Rajendra Ram Das,,,,,,,,,ANIRBAN SAHA,,,CHHANDA SAHA,,,,,,,,SEKH SADIK HUSSAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Chowrangee,45344,BANDYOPADHYAY NAYNA,DEVDUTTA MAJI,,SANTOSH KUMAR PATHAK,SUMANTA BHOWMICK,,NOTA,,SWAMINATH KORI,MANIKA PAUL,,,,,,,,,,ANIL KUMAR SINGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AJAY KUMAR GUPTA,
163,Entally,58257,Swarna Kamal Saha,Priyanka Tibrewal,,,Prabir Dasgupta,Md. Iqbal Alam,NOTA,,Md. Fayaz,,,,,,,,,,,Md. Nurul Huda,Swarnalata Sarkar,,,,,,,,,,,,,,,,,,Goutam Prasad,,,,,,,,,,,,,,Md. Enayetullah Ansari,,,,,,,
164,Beleghata,67140,PARESH PAUL,KASHINATH BISWAS,RAJIB BISWAS,,SURENDAR TEWARI,,NOTA,,ARJUN KUMAR DAS,TARUN KUMAR DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAPI PAUL,,,,,,,,,
165,Jorasanko,12743,VIVEK GUPTA,MEENA DEVI PUROHIT,,AJMAL KHAN,NAWAL MONDAL,,NOTA,,NIRMAL KANTI SAMADDAR,BIJNAN KUMAR BERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Shyampukur,22520,Dr. SHASHI PANJA,SANDIPAN BISWAS,,,SURAJIT GHOSH,,NOTA,JIBAN PRAKASH SAHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUNNI MALI,,,,,
167,Maniktola,20238,Sadhan Pande,Kalyan Chaubey,Rupa Bagchi,,Nimai Nath,,NOTA,,Ajay Prajapati,,,,,Subir Das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tarun Banerjee,,,,,,,,,,,,,,,,,
168,Kashipur-Belgachhia,35390,Atin Ghosh,Sibaji Sinha Roy,PRATIP DASGUPTA,,KUSH MAHALI,,NOTA,,SHIO KUMAR KHATIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Bally,6237,RANA CHATTERJEE,BAISHALI DALMIYA,DIPSITA DHAR,,RAJKUMAR DHANUK,,NOTA,,,PUTUL CHOWDHURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Howrah Uttar,5522,GAUTAM CHOWDHURI,UMESH RAI,PAWAN KUMAR SINGH,,SUBHASH KUMAR SINGHI,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANESHLAL GUPTA,,,ASHOK KUMAR SHARMA,,,,,,,,,,,,RAJ KUMAR PASWAN,
171,Howrah Madhya,46547,"Arup Roy, S/o Late Prabhat Roy",Sanjay Singh,,Palash Bhandari,Samir Mondal,,NOTA,,,Shrirup Das,,,,,,,,,,Anamika Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chandrakant Jaiswal
172,Shibpur,32603,Manoj Tiwary,Rathin Chakrabarty,,,Surojit Das,,NOTA,Jagannath Bhattacharyya,,Kartick Shil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Howrah Dakshin,50569,NANDITA CHOWDHURY,RANTIDEV  SENGUPTA,SUMITRO ADHIKARY,,SUSHANTA MONDAL,,NOTA,,,TAPAS KUMAR  DAS,,,,,,,,,,AMIT KUMAR GHOSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Sankrail,40427,PRIYA PAUL,PROBHAKAR PANDIT,SAMIR MALICK,,SAMIR SHIT,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Panchla,32751,GULSAN MULLICK,MOHIT LAL GHANTI,,,SHYAMAL MONDAL,ABDUL JALIL SK,NOTA,,,,,,,,AMAR CHATTERJEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Uluberia Purba,17126,BIDESH RANJAN BOSE,PRATYUSH MANDAL,,,SUSHANTA DOLUI,ABBAS UDDIN KHAN,NOTA,,,,,,,,,,,,,,,,,,,ANOWAR MALLICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Uluberia Uttar,21003,Dr. Nirmal Maji,CHIRAN BERA,Ashok Dalui,,NIRAPADA PANDIT,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Uluberia Dakshin,28438,PULAK ROY,PAPIA DEY (ADHIKARY),,,AMAL KUMAR BARMAN,,NOTA,SK KUTUB UDDIN AHMED,,JAYANTA KHATUA,,,,,,,,,,,,,,,,RAM PROSAD GHORAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Shyampur,31511,KALIPADA MANDAL,TNUSREE CHAKRABORTY,,AMITABHA CHAKRABORTI,SANKAR MANDAL,,NOTA,,,PRADIP MANDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Bagnan,30120,Arunava Sen (Raja),Anupam Mallik,Sk Bosir Ahmed,,Sanjit Patra,,NOTA,,,Pampa Sarkar Bera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Amta,26205,SUKANTA KUMAR PAUL,DEBTANU BHATTACHARYA,,ASIT MITRA,BISWANATH DAS,,NOTA,,,SANJEEB SANTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Udaynarayanpur,13998,SAMIR KUMAR PANJA,SUMIT RANJAN KARAR,,ALOKE KOLEY,ARNAB ADHIKARY,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Jagatballavpur,29196,SITANATH GHOSH,ANUPAM GHOSH,,,PANCHANAN MAHANTA,SK SABBIR AHMED,NOTA,,,,,,,,,,,,,,,,,,,GOBARDHAN MANNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Domjur,42620,KALYAN GHOSH,RAJIB BANERJEE    S/O- LATE DHANANJOY BANERJEE,UTTAM BERA,,SUMANTA KAYAL,,NOTA,,,,,,,,,,,,,,RAJANI BEGUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Uttarpara,35989,KANCHAN MULLICK,PRABIR KUMAR GHOSAL,RAJAT BANERJEE (BAPPA),,RANJAN MUKHERJEE,,NOTA,,,,,,,,,,SOURAV ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Sreerampur,23433,DR. SUDIPTO ROY,KABIR SHANKAR BOSE,,ALOK RANJAN BANERJEE,BISWANATH BHATTACHERJEE,,NOTA,,,SAMIR SARKAR,,,,,,,,,,,,,,,,,,,,,MANGAL SARKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Champdani,30078,ARINDAM GUIN (BUBAI),DILIP SINGH,,ABDUL MANNAN,ARABIND KUMAR RABIDAS,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,MANGAL SARKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Singur,25923,BECHARAM MANNA,RABINDRANATH BHATTACHARYA,SRIJAN BHATTACHARYYA,,,,NOTA,,,SHANKAR JANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Chandannagar,31029,INDRANIL SEN,DEEPANJAN KUMAR GUHA,GAUTAM SARKAR,,RATAN KUMAR CHATTERJEE (R.K.C),,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Chunchura,18417,Asit Mazumder (Tapan),Locket Chatterjee,,,Kashinath Murmu,,NOTA,PRANAB KUMAR GHOSH,Goutam Mondal,,,,,,,,,,,,,,,AJIT KUMAR MURMU,,,,,,,,,,,,,,,,,,,Ajanta Sarkar,,,,,,,,,,,,,,,,,
191,Balagarh,5784,MANORANJAN BAPARI,SUBHAS CHANDRA HALDAR,MAHAMAYA MONDAL,,,,NOTA,,,SUKDEB BISWAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Pandua,31858,Dr. Ratna De Nag,Partha Sharma,Amjad Hossain Sk.,,,,NOTA,,Mina Roy,Paban Mazumder,,,,,,,,,,,,Sk. Nasiruddin,,Balai Saren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Saptagram,9772,TAPAN DASGUPTA,DEBABRATA BISWAS,,PABITRA DEB,Subir Roy,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Chanditala,41347,SWATI KHANDOKER,DEBASHISH DASGUPTA(YASH D GUPTAA),MD. SALIM,,ABDUL RAHIM MOLLICK,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Jangipara,17926,SNEHASIS CHAKRABORTY,DEBJIT SARKAR,,,SK. SAMSUDDIN,SK. MAINUDDIN,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Haripal,23072,Dr. Karabi Manna,Samiran Mitra,,,,Simal Saren,NOTA,,Totan Bag,Biswanath Ghosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Dhanekhali,30159,ASIMA PATRA,TUSAR KUMAR MAJUMDAR,,ANIRBAN SAHA,,,NOTA,,,,,,,,,,SAJAL KUMAR DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Tarakeswar,7484,RAMENDU SINHARAY,Dr. Swapan Dasgupta,SURAJIT GHOSH,,Sukumar Khanra,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanju Chakraborty,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Pursurah,28178,DILIP YADAV,BIMAN GHOSH,,MONIKA MALIK GHOSH,CHIRANJIT BARIK,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Arambag,7172,SUJATA MONDAL,MADHUSUDAN BAG,SAKTI MOHON MALIK,,,,NOTA,,BANKIM CHANDRA SANTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Goghat,4147,MANAS MAJUMDAR,BISWANATH KARAK,,,,,NOTA,SHIBA PRASAD MALICK,SAMIR ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Khanakul,12884,MUNSI NAZBUL KARIM,SUSANTA GHOSH,,,CHANDAN SAMANTA,FAISAL KHAN,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Tamluk,793,Saumen Kumar Mahapatra,Hare Krishna Bera,,,Bhim Patra,,NOTA,,,Jnanananda Roy,,Goutam Panda,,,Sulalit Mallick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Panskura Purba,9660,Biplab Roy Chowdhury,Debabrata Pattanayek,Ibrahim Ali Sk,,Samir Hossain,,NOTA,,,Chandramohan Manik,,,,,Bimal Poria,,,,,,,,,,,Tarun Mandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Panskura Paschim,8889,PHIROJA BIBI,SINTU SENAPATI,,,NARAYAN KINKAR MISHRA,,NOTA,,,SUNIL KUMAR JANA,,CHITTARANJAN DASTHAKUR,,,,,,,,,,PREETILATA DAS TEWARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Moyna,1260,Sangram Kumar Dolai,Ashoke Dinda,,Manik Bhaumik,Mahammad Ali Sk,,NOTA,,Kamal Bag,Subrata Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Nandakumar,5406,SUKUMAR DE,ADHIKARY NILANJAN,KARUNA SANKAR BHOWMIK,,Marphat Ali Khan,,NOTA,,,Saumitra Pattanayak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Mahishadal,2386,TILAK KUMAR CHAKRABORTY,BISWANATH BANERJEE,,,PHAJLUR RAHAMAN SEK,BIKRAM CHATTERJEE,NOTA,,,TAPAN KUMAR MAITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Haldia,15008,Swapan Naskar,Tapasi Mondal,Kar Paik Manika,,,,NOTA,,Subrata Ghorai,Narayan Pramanik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Nandigram,1956,Mamata Banerjee,ADHIKARI SUVENDU,Minakshi Mukherjee,,Swapan Parua,,NOTA,,,MANOJ KUMAR DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Chandipur,13472,Soham Chakraborty,Pulak Kanti Guria,Ashis Kumar Guchhait,,Arup Kumar Sahoo,,NOTA,,Biswanath Ghorai,Swapan Kumar Bhowmik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bikash Chandra Das,,,,,,,,,,,,,,,,,,,,,
212,Patashpur,9994,UTTAM BARIK,AMBUJAKSHA MAHANTI,,,,,NOTA,,,SURJYENDU BIKASH PATRA,,SAIKAT GIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Kanthi Uttar,9330,TARUN KUMAR JANA,SUMITA SINHA,SUTANU MAITY,,PRABIR MISHRA,,NOTA,,,PANCHANAN DAS,,,,,,,,,,,,,,,,BISWANATH DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Bhagabanpur,27549,ARDHENDU MAITY,RABINDRANATH MAITY,,SHIU MAITI,,,NOTA,,,ASOKTARU PRADHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Khejuri,17965,PARTHA PRATIM DAS,SANTANU PRAMANIK,HIMANGSHU DAS,,,,NOTA,,,Somnath Mandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Kanthi Dakshin,10293,JYOTIRMOY KAR,ARUP KUMAR DAS,,,,,NOTA,,,SHRABANI PAHARI,,ANURUP PANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Ramnagar,12517,AKHIL GIRI,SWADESH RANJAN NAYAK,SABYASACHI JANA,,,,NOTA,,,ARATI PAHARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAYEE PRADHAN,,,,,,,,
218,Egra,18491,TARUN KUMAR MAITY,ARUP DASH,,MANAS KUMAR KARMAHAPATRA,,,NOTA,,,JAGADIS SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Dantan,623,BIKRAM CHANDRA PRADHAN,Saktipada Nayak,,,,,NOTA,,,SUBHAS DAS,,SISIR KUMAR PATRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Nayagram,22754,DULAL MURMU,BAKUL MURMU,HARIPADA SAREN,,BIDHAN CHANDRA SING,,NOTA,,SHYAM MANDI,KALICHARAN BESHRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Gopiballavpur,23768,Dr. Khagendra Nath Mahata,Sanjit Mahata,Prasanta Kumar Das,,Subhas Mahata (Bula Babu),,NOTA,,Banamali Nayek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Jhargram,38240,BIRBAHA HANSDA,SUKHAMAY SATPATHY (JAHAR),MADHUJA SEN ROY,,MADHUSUDAN SINGHA,,NOTA,,RAMKRISHNA SARKAR,ARCHANA SAIN,,,,,LAXMAN HANSDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
