Constituency ID,Constituency_Name,Winning_Margin,Candidate - Dravida Munnetra Kazhagam,Candidate - All India Anna Dravida Munnetra Kazhagam,Candidate - Naam Tamilar Katchi,Candidate - Indian National Congress,Candidate - Pattali Makkal Katchi,Candidate - Bharatiya Janata Party,Candidate - Makkal Needhi Maiam,Candidate - Amma Makkal Munnettra Kazagam,Candidate - Independent,Candidate - Communist Party of India,Candidate - Viduthalai Chiruthaigal Katchi,Candidate - Communist Party of India  (Marxist),Candidate - None of the Above,Candidate - Indian Union Muslim League,Candidate - Desiya Murpokku Dravida Kazhagam,Candidate - Bahujan Samaj Party,Candidate - Puthiya Tamilagam,Candidate - Indiya Jananayaka Katchi,Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - Tamil Nadu Ilangyar Katchi,Candidate - My India Party,Candidate - Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Candidate - Anaithu Makkal Puratchi Katchi,Candidate - Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Candidate - All India Samathuva Makhal Katchi,Candidate - New Generation People’s Party,Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - Anna Dravidar Kazhagam,Candidate - Desiya Makkal Sakthi Katchi,Candidate - Naam Indiar Party,Candidate - Dhesiya Makkal Kazhagam,Candidate - Nationalist Congress Party,Candidate - Anaithu Makkal Arasiyal Katchi,Candidate - Ganasangam Party of India,Candidate - Anna MGR Dravida Makkal Kalgam,Candidate - All India Majlis-E-Ittehadul Muslimeen,Candidate - Ahimsa Socialist Party,Candidate - Tamilaga Makkal Thannurimai Katchi,Candidate - Republican Party of India (Athawale),Candidate - All India Jananayaka Makkal Kazhagam,Candidate - Tipu Sultan Party,Candidate - United States of India Party,Candidate - Samaniya Makkal Nala Katchi,Candidate - Akhil Bharat Hindu Mahasabha,Candidate - Naadaalum Makkal Katchi,Candidate - All India Uzhavargal Uzhaippalargal Katchi,Candidate - Bahujan Dravida Party,Candidate - Namadhu Makkal Katchi,Candidate - Makkal Munnetra Peravai,Candidate - Desiya Sirupanmayinar Makkal Iyakkam,Candidate - Shiv Sena,Candidate - Ambedkarite Party of India,Candidate - Janata Dal  (Secular),Candidate - National People's Party,Candidate - National Democratic Party of South India,Candidate - Lok Jan Shakti Party,Candidate - All India Trinamool Congress,Candidate - India Dravida Makkal Munnetra Katchi,Candidate - Kongu  Desa  Marumalarchi  Makkal  Katchi,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - Tamizhaga Murpokku Makkal Katchi,Candidate - All India MGR Makkal Munnetra Kazhagam,Candidate - Aanaithinthiya Jananayaka Pathukappu Kazhagam,Candidate - Manitha Urimaigal Kalaagam,Candidate - Makkal Nala Kazhagam,Candidate - MGR Makkal Katchi,Candidate - Anaithu Ulaga Tamilargal Munnetra Kalagam,Candidate - All Pensioner’s Party,Candidate - Rashtriya Janata Dal,Candidate - Namathu Kongu Munnetra Kalagam,Candidate - South India Forward Bloc,Candidate - Akila India Vallalar Peravai,Candidate - Nam India Naam Indiyar Katchi,Candidate - Rashtriya Samaj Paksha,Candidate - All  India  Pattali  Munnetra Katchi,Candidate - People's Party of India(secular),"Candidate - Makkal Sananayaga Kudiyarasu Katchi,",Candidate - Samata Party,Candidate - All India Youth Development Party,Candidate - Ezhuchi Tamilargal Munnetra Kazhagam,Candidate - Valamaana  Tamizhagam   Katchi,Candidate - Makkalatchi Katchi,Candidate - Ulaga Makkal Katchi,Candidate - Anaithu Makkal Munnetra Kazhagam,Candidate - Desa Makkal Munnetrak Kazhgam,Candidate - Dravida Murpokku Makkal Katchi,Candidate - Ambedkar Political Party,Candidate - Tamil Telugu National Party,Candidate - Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Candidate - Samajwadi Party,Candidate - Tamilnadu Mahatma Gandhi Makkal Katchi,Candidate - Anna MGR Dravida Munnetra Kazhagam,Candidate - Ilantamilar Munnani Kazhagam,Candidate - Tamilnadu Makkal Nalvazhvu Periyakkam,Candidate - Thamizhaga Munnetra Congress,Candidate - Jebamani Janata,Candidate - Anaithindia Samudaya Munnetra Kazhagam,Candidate - MAKKAL SAKTHI KATCHI,Candidate - Indhia Kudiarasu Katchi,Candidate - Vidial Valarchi Perani,Candidate - Makkal Nalvaazhvuk Katchi,"Candidate - Makkal Thilagam Munnetra Kazhagam,",Candidate - Universal Brotherhood Movement,Candidate - Rashtriya Ulama Council,Candidate - Hindustan Janta Party,Candidate - Kamarajar Deseeya Congress,Candidate - Bhartiya Manavadhikaar Federal Party,Candidate - Republican Party of India  (Sivaraj),Candidate - Mahathma Makkal Munnetra Kazhakam
95,Paramathi-Velur,7662,MOORTHIY K S,SEKAR S,UVARANI K,,,,NATARAJAN K,SAMINATHAN P P,SEKAR R,,,,NOTA,,,RAMAN V,,,,,,,,,,,,,,,,,,MANI K,,,,,,,,SUNDARAM S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Tiruchengodu,2862,ESWARAN E R,SARASWATHI PON,NATARAJAN P,,,,JANAGARAJ R,HEMALATHA R,SHANMUGASUNDARAM T,,,,NOTA,,,,,,,,KALAIVANAN A,,,,,,,,,,,,,,,,SENGOTTUVELLU N,SIVAKUMAR K,CHINNATHAMBI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YUVARAJKUMAR K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Kumarapalayam,31646,M.VENKATACHALAM,THANGAMANI.P,S.VARUN,,,,K.KAMARAJ,,OMMSHARRAVANA.S,,,,NOTA,,K.R.SIVASUBIRAMANIYAN,,,,,,,,,,,,SUBRAMANI.S,,,,,,,,,,,,,,,,,,,,,,,,,R.KUMAR,,,,,,,,,,,,R.KUMARESAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Erode (East),8904,,"YUVARAJA,M.","GOMATHI,S.","THIRUMAHAN EVERAA,E.",,,"RAJAKUMAR,A.M.R","MUTHUKUMARAN,S.A.","MEENAKSHI,V.",,,,NOTA,,,"GOVINDARAJ,S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARUMUGA AC KANNAN,,,,,,,,,,,,,,"SHANMUGAVEL,S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAJA,P.",,,,,,,
99,Erode (West),22089,Muthusamy S,Ramalingam K V,Chandra kumar P,,,,Durai Sevugan,Sivasubramaniyan S,Vimala M,,,,NOTA,,,Dhanalakshmi A,,,,,,,,,,,,,,,,,,Madhan K,,,,,,,,Thangavel G,,,,,,,,,,Chandran M,,,,,,Balasubramaniam K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Modakkurichi,281,SUBBULAKSHMI JEGADEESAN,,PRAKASH.G,,,SARASWATHI.C,RAJESHKUMAR.M,THANGARAJ.D,SAMI KANDHASAMY,,,,NOTA,,,BOOPATHI.R,,,,,MAHESWARAN .A,,,,,,,,,,,,,MANICKAM.R,,,,,,,,,,,,,,,,,,,,,,,,MANI.P,,,,,,,,,,,,RAMESH.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Dharapuram,1393,KAYALVIZHI N,,RANJITHA K,,,MURUGAN L,CHARLI A,KALARANI C,KAYALVIZHI K,,,,NOTA,,,RANGASAMY S,,,,,,,,MUNIYAPPAN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIDAMBHARAM V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Kangayam,7331,SAMINATHAN.M.P,RAMALINGAM.A.S,SIVANANTHAM.K,,,,,RAMESH.C,APPASAMY.R,,,,NOTA,,,AYYAVU.N,,,,,,,,MANOHARAN.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Perundurai,14507,KKC BALU,"JAYAKUMAR, S.","LOGANATHAN, C.",,,,"NANDHAKUMAR, C. K.",,THOPPU VENKATACHALAM (A) N.D .VENKATACHALAM,,,,NOTA,,"KULANDAIVEL, P. R.","THAMBI, M.",,,,,,,,"VELUSAMY, P.",,,,,"DHAKSHINAMURTHI, K. S.",,,,,,,,,,,"PRABAKARAN, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAMESH, M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Bhavani,22523,DURAIRAJ.K.P,KARUPPANAN.K.C,SATHYA.M,,,,SADHANANDHAM.K,RADHAKRISHNAN.M,SATHEESH KUMAR.P,,,,NOTA,,,GOPAL.M,,,,,,,,,,,,,,,,,,,,,,JANARTHANAM.R.P,,,,,,,,,,,,,,,,,,,,,AMMASAI.K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Anthiyur,1275,VENKATACHALAM.A.G,SHANMUGAVEL.K.S,SARAVANAN.M,,,,GURUNATHAN.M,SELVAM.S.R,POORNACHANDRAN.S,,,,NOTA,,,PATTAN.G,,,,,,,,,,,,,,,,,,RAJENDRAN.K,,,PRATHABAN.A,,,,,,,,,,,,,,,,,,,,,BAKKIYAM.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Gobichettipalayam,28563,MANIMARAN G.V,SENGOTTAIYAN K.A,SEETHALAKSHMI M.K,,,,PRAKASH N.K,THULASIMANI N.K,MOHANRAJ K,,,,NOTA,,,PALANISAMY P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAKTHIVEL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Bhavanisagar,16008,,A.Bannari,V.SANGEETHA,,,,KARTHIKKUMAR.K,,,P.L SUNDARAM,,,NOTA,,RAMESH.G,G.SAKTHIVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Udhagamandalam,5348,,,"JAYAKUMAR, A.","GANESH, R.",,"BHOJARAJAN, M.","Dr.SURESH BABU, S.","LAKSHMANAN, T.","AROKIYANATHAN, B.",,,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Gudalur,1945,"KASILINGAM, S.",PON.JAYASEELAN,"KETHEESWARAN, R.",,,,"BABU, J.",,"SARAVANAN, M.",,,,NOTA,,"YOGESWARAN, A.",,,,,,,,,,,,,,,,,,,,,,,"JAYAPRAKASH, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Coonoor,4105,"Ramachandran, K.","Vinoth, D.","Lavanya, M.",,,,"Rajakumar, H.B.","Kalaiselvan, S.","Jayaprakash, D",,,,NOTA,,,,,,,,,,"Arumugam, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prabhu Inbadass, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Mettuppalayam,2456,SHANMUGASUNDARAM T R,SELVARAJ A K,YASMIN K,,,,,SARAVANAN P,SRINIVASAN S,,,,NOTA,,,,,,,,,MAHESHWARAN K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Avanashi,50902,ATHIYAMAAN RAJU,"DHANAPAL, P",SHOBA,,,,"VENKATESWARAN, A",,"RANGASAMY, P",,,,NOTA,,"MEERA, K","DURAISAMY, P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SUBRAMANI, K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Tiruppur (North),40102,,VIJEYAKUMAR.K.N,EASWARAN.S,,,,SIVABALAN.S,,RANGASAMY.M,RAVI (Alias) SUBRAMANIAN . M,,,NOTA,,SELVAKUMAR.M,CHANDRASEKARAN.R,,,,,,,,SENTHILKUMAR.V,,,,ALAGHUSUNDARAM.P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEIVASIGAMANI.K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Tiruppur (South),4709,SELVARAJ. K.,GUNASEKARAN. S.,SHANMUGASUNDARAM. K.,,,,ANUSHA RAVI.,VISHALAKCHI. A.,PRAKASH. R.,,,,NOTA,,,CHELLAPANDY. P.,,,,ARUNKUMAR. G.,,,,DEIVEEGAN. K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Palladam,32691,MUTHURATHINAM K,ANANDAN M S M,SUBRAMANIAN S,,,,MAYILSAMY G,JOTHIMANI R,MUTHURATHINAM M,,,,NOTA,,,ANNADURAI R,,,,ANTONY MARIARAJ A,,,,SIVAKUMAR G,,,,THINAKARAN K,,,,,,,,,,,,,,UMANATH R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Sulur,31932,PREMIER SELVAM (a)KALICHAMY M,KANDASAMY V.P.,ELANGOVAN. G,,,,RANGANATHAN. A,SENTHIL KUMAR. S.A.,PREM KUMAR P,,,,NOTA,,,,,,,,JAGADHEESH. S,,,,,,,,,,,,,NAGARAJ. K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Kavundampalayam,9776,R.Krishnan,G.Arunkumar,Kalamani.M,,,,Pankaj Jain,Aruna.M,Pushpanantham.V,,,,NOTA,,,,,,,Siva.K,,,,,,Selvaraj.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Coimbatore (North),4001,SHANMUGASUNDARAM V.M,AMMAN K.ARJUNAN,Balendran C.B,,,,THANGAVELU R,APPATHURAI N.R,BALAMURUGAN M,,,,NOTA,,,,,,,DURAIRAJ K,,,,,,PANNEER SELVARAJ M,,,,,,,,,,,,,,,,,,,,,,,RAJKUMAR M.P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANNAPIRAN V,,,,,,,,,,,,,,,,,,,,,,,
119,Thondamuthur,41630,KARTHIKEYA,S.P. VELUMANI,S. KALAIARASI,,,,S. SHAJAHAN,R.SATHISHKUMAR,A. MANSOOR ALI KHAN,,,,NOTA,,,,,,,,,,,,,,,,,,,,,M. BADRAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Coimbatore (South),1728,,,ABDUL WAHAB,MAYURA S JAYAKUMAR,,VANATHI SRINIVASAN,KAMALHAASAN,DURAISAMY @ CHALLENGER DURAI,SUNDARAVADIVELU,,,,NOTA,,,ROSHAN,,,,,,,,,,GOPALAKRISHNAN,,,,,,,,SANMUGAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIVEK SUBRAMANIAM,,,,,,,,,,,,,VELLIMALAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAGHUL GANDHI .K,,,,
121,Singanallur,10854,"Karthik, N","Jayaram, K.R","Narmadha, R",,,,"Mahendran, R","Selva, S.R","Nabas Sherif, M",,,,NOTA,,,,,,,,"Palanisamy, N",,,,,,,"Sasikumar, M",,,,,,,,,,,,,,"SenthilKumar, S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Kinathukadavu,1095,Kuruchi Prabhakaran,Damodaran.S,Umajagadesh.M,,,,Siva.A,ROHINI MA.PA,Velusamy.V,,,,NOTA,,,,,,,,,Anbazhagan.G,,,,,,,,,,,,Mariappan.R,,,,,,James.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Pollachi,1725,"Dr. Varadharajan, K.",Pollachi V. Jayaraman,"Logeswari, N.",,,,"Sathieshkumar, V.T.","Sugumar, K.","Shanthu Mohamed, A.",,,,NOTA,,,"Aruchamy, C.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Valparai,12223,,AMULKANDASAMI T K,KOHILA C,,,,SENTHILRAJ D,,RANGASAMY T M,ARUMUGAM M,,,NOTA,,MURUGARAJ M S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Udumalaipettai,21895,,"Radhakrishnan,K.","Babu Ranjendra Prasad,A.","Thennarasu,K.",,,"Srinithi,V.","Palanisamy,R.","Dhivya,D.",,,,NOTA,,,"Kumar,K.",,,,,,,,"Krishnan,T.",,,,,,,,,"Nachammal,K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Madathukulam,6438,R.JAYARAMAKRISHNAN,C MAHENDRAN,U SANUJA,,,,K KUMARESAN,C.SHANMUGAVELU,G RAMAKRISHNAN,,,,NOTA,,,J.BENJAMIN KIRUBAKARAN,,,,,,,,K SAKTHIVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Palani,30056,SENTHIL KUMAR I.P,RAVI MANOHARAN K,VINOTH RAJASEKARAN G,,,,POOVENDHAN T,VEERAKUMAR V,SUDHA R B,,,,NOTA,,,NACHIMUTHU S,,,,,THANGAVEL B,,,,,,,,,,,,,,,,,,,,,,,SIVABALA MOORTHI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Oddanchatram,28742,SAKKARAPANI R,NATARAJ N.P,SAKTHI DEVI T,,,,ABDUL HADI A,,MARIMUTHU T.S,,,,NOTA,,SIVA KUMAR M,MURUGARAJ P,,,,,RAVICHANDRAN K,,RAVI M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Athoor,135571,PERIYASAMY I,,SIMON JUSTIN A,,THILAGABAMA M,,SIVASAKTHIVEL P,SELVAKUMAR P,SAVADAMUTHU A,,,,NOTA,,,KARTHIGAISELVAN K,SILAMBARASAN M,,,,JEYASEKARAN R,,RAGUPATHI P,MUTHULAKSHMI R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Nilakkottai,27618,K.Murugavelrajan,S.Thenmozhi,G.Vasanthadevi,,,,Ananth,,P.Nagajothi,,,,NOTA,,K.Ramasamy,P.Nagendran,V.K.Aiyyar,,,,V.Revadhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Natham,11932,M.A.ANDI AMBALAM,NATHAM.R.VISWANATHAN,DOCTOR.V.SIVASANKARAN,,,,,N.RAJA,S.JEYAKUMAR,,,,NOTA,,,P.ANDISAMY,,R.A.SARANRAJ,,,V.VEMBARASAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Dindigul,17747,,SREENIVASAN.C,JAYASUNDAR.R,,,,RAJENDRAN.R,RAMUTHEVAR.P,BALASUBRAMANI.K,,,PANDI.N,NOTA,,,ARASUR MANOHARAN.S,MURUGESAN.A,,,,AKKAMMAL.S,,SIVAGANAM.A,KARTHIKEYAN.V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALAGU PANDIAN.R,,,,,,,,,,,,,,,,,,,,,,,,,
133,Vedasandur,17553,GANDHIRAJAN S,PARAMASIVAM V P B,POTHUMANI R,,,,VETRIVEL S,RAMASAMY P,PALANICHAMY B,,,,NOTA,,,,,,,,KARTHIKEYAN A,,,,,,,,,,,,,MURUGESAN K,,,,,,,,,KALIMUTHU V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANEESHANKAR M G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Aravakurichi,24816,ELANGO. R,,ANITHA PARVEEN. M,,,ANNAMALAI. K,MOHAMMED HANEEF SHAHIL. K. S,THANGAVEL.  P. S. N,SARAVANAN. P,,,,NOTA,,,SUNDARARAJ. R,,,,RAJKUMAR. R,,,,,,,,,,,,,,,,,,,,,,,MOHANRAJ. C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Karur,12448,SENTHILBALAJI V,VIJAYABHASKAR. M.R,KARUPPAIYA.R,,,,MOHANRAJ.S,,RAVI.P,,,,NOTA,,THANGARAJ.N,AADHIKRISHNAN.P,,,,,,,,,,,,,JOSEPH.M.A,,,,,DHANALAKSHMI.M,,,,,,,,,SHANMUGAM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Krishnarayapuram,31625,SIVAGAMA SUNDARI.K,MUTHUKUMAR,ILAKIYA.R,,,,SARAVANAN.V,,SIVAKUMAR. O,,,,NOTA,,KATHIRVEL.M,MURUGESAN.R,ASHOKAN.P,,,,CHANDRA.P,,,,,,NARAYANAN.KR,,,,,,,,,,,,,,,,RAJAGURU. M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Kulithalai,23540,R.Manickam,N.R.Chandrasekar,Seeni.Prakasu,,,,,V.Nirosha,R.Saravanan,,,,NOTA,,,P.Anbalagan,,S.Manikandan,,,,,,,,,,,,,,,,,,,,,,,A.Subethar,,M.Sankar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Manapparai,12243,ABDUL SAMAD P,CHANDRASEKAR.R,KANIMOZHI.P,,,,,,CHANDRASEKAR V,,,,NOTA,,KRISHNAGOPAL P,,,UMARANI K,,,,,,,,,SAKTHIVEL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARADAN.M,,,,,,,,,,,,,,,,,,,,,,,,PANDIAN V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Srirangam,19915,Palaniyandi.M,KuPa Krishnan,K.Selvarathi,,,,,Sarubala.R.Thondaiman,Y.Jacob,,,,NOTA,,,G.Selvakumar,,S.Francis Mery,,,,,,,,,,,Annalakshmi,,,,,,,,,,,,,,P.Balasubramanian,,,,,,Daniel Jude Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Tiruchirappalli (West),85109,"Nehru, K.N.","Padmanathan, V.","Vinodh, V.",,,,"Abubacker Siddiq,  M.",,"Sudha, R.",,,,NOTA,,,,,,"Abdullah Hassan Faizy, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Tiruchirappalli (East),53797,"INIGO IRUDAYARAJ,S.","VELLAMANDI NATARAJAN,N.","PRABU,R.",,,,"VEERASAKTHI,D.",MANOHARAN.R.,"RAJA,S.",,,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIJAIA MOHANAAJI,,,,,,,,,
142,Thiruverumbur,49697,ANBIL MAHESH POYYAMOZHI,P KUMAR,V CHOLASOORAN,,,,MURUGANANDAM M,,JESTIN RAJA,,,,NOTA,,S.  SENTHILKUMAR,MALATHI RAVICHANDRAN,,,,K.M. KARTHIK,,K. PALANISAMY,,,,S.SAKTHIVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Lalgudi,16949,A.SOUNDARAPANDIAN,D.R.DHARMARAJ,I.MALAR TAMIL PRABHA,,,,,M.VIJAYAMURTHY,U.JOHNSON,,,,NOTA,,,,P.NAMBIRAJAN,,,,,,,,,,,,,,,,,,R.SILAMBARASAN,,,,,,,,K.KAMARAJ,,,,,,,,VEERAN.MUTHUKUMAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Manachanallur,59618,S. KATHIRAVAN,M. PARANJOTHI,Dr. KRISHNASAMY. V,,,,R. SAMSON,M. RAJASEKHARN,V.M. SELVARAJ,,,,NOTA,,,V. INDIRANI,M. DHINAKARAN,,,T. RENGARAJ,P. JAGADEESAN,,,,,,,,,,,,,,,,,,,,,,K. GURUNATHAN,,,,,,S. ROHINI,,,,,,,,,,,,,,,,,,,,,,,C. ARULMANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Musiri,26836,N. Thiyagarajan,M. Selvarasu,Sridevi Ilangovan,,,,S. Gokul,,N. Sivakumar,,,,NOTA,,Kumar.K.S,V. Bernardshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Dharmalingam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gautham. S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Thuraiyur,22071,S.STALINKUMAR,T.INDRAGANDHI,R.TAMILZHSELVI,,,,T.N. YUVARAJAN,K.SUBRAMANIAN,S.KARUPPIAH,,,,NOTA,,,S.ESWARAMOORTHY,K.GUNASEKARAN,,,,,,,,,,,,,,,,,,,,,,,,,,M.MALARMANNAN,,,,,,,,,,,,,,,,,,K.JAYAKKANNAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Perambalur,31034,"PRABHAHARAN, M.","THAMIZHSELVAN, R.","MAHESHWARI, M.",,,,,,"SATHISH, S.",,,,NOTA,,"RAJENDRAN, K.","RAJENDRAN, K.","RADHIKA, T.","SASIKALA, M.",,,,,,,,,,,,,,"GUNASEKARAN, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
